"Strain"	"Source"	"Isolation date"	"Outbreak number"	"PFGE pattern"	"PT"	"Canadian PFGE pattern"
SH12-001	Human	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH12-002	Human	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH12-003	Human	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH12-004	Human	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH12-005	Human	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH12-006	Human	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH12-007	Human	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH12-008	Human	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH12-009	Food	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH12-010	Food	05-2012	1	2	19	SHXAI.0001/SHBNI.0001
SH13-001	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001
SH13-002	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001
SH13-003	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001
SH13-004	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001
SH13-005	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001
SH13-006	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001
SH13-007	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001
SH13-008	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001
SH14-001	Human	07-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-002	Human	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-003	Human	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-004	Human	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-005	Human	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-006	Human	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-007	Human	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-008	Human	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-009	Human	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-010	Human	08-2014	3	2	17	SHXAI.0001/SHBNI.0001
SH14-011	Human	08-2014	3	2	17	SHXAI.0001/SHBNI.0001
SH14-012	Human	08-2014	3	2	ATHE-35	SHXAI.0001/SHBNI.0001
SH14-013	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-014	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-015	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-016	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-017	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-018	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-019	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-020	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-021	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-022	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-023	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-024	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-025	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-026	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-027	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH14-028	Food	08-2014	3	2	19	SHXAI.0001/SHBNI.0001
SH12-011	Human	05-2012	NA	2	19	SHXAI.0001/SHBNI.0001
SH10-001	Human	08-2010	NA	2	19	SHXAI.0001/SHBNI.0001
SH11-001	Human	07-2011	NA	2	19	SHXAI.0001/SHBNI.0001
SH10-002	Human	02-2010	NA	2	19	SHXAI.0001/SHBNI.0001
SH12-012	Human	06-2012	NA	2	18	SHXAI.0001/SHBNI.0001
SH12-014	Human	08-2012	NA	52	10	SHXAI.0009/SHBNI.0025
SH12-013	Human	02-2012	NA	87	32	SHXAI.0197/SHBNI.0077
SH10-014	Human	08-2010	NA	2	26	SHXAI.0001/SHBNI.0001
SH11-002	Human	02-2011	NA	2	26	SHXAI.0001/SHBNI.0001
SH10-015	Human	09-2010	NA	2	26	SHXAI.0001/SHBNI.0001
SH08-001	Human	12-2008	NA	2	19	SHXAI.0001/SHBNI.0001
SH09-29	Human	08-2009	NA	2	26	SHXAI.0001/SHBNI.0001
SH10-30	Human	07-2010	NA	2	29	SHXAI.0001/SHBNI.0001
